1  's  POS  2  1.6260161  [3, 9]
2  a.m.  RB  1  0.81300807  [6]
3  alarm  NN  1  0.81300807  [2]
4  alert  JJ  1  0.81300807  [2]
5  alerted  VBD  1  0.81300807  [0]
6  an  DT  1  0.81300807  [4]
7  approaching  VBG  1  0.81300807  [1]
8  area  NN  1  0.81300807  [7]
9  atlantic  NNP  1  0.81300807  [14]
10  barahona  NNP  2  1.6260161  [3, 4]
11  broad  JJ  1  0.81300807  [7]
12  brought  VBD  1  0.81300807  [9]
13  cabral  NNP  2  1.6260161  [2, 3]
14  caribbean  NNP  1  0.81300807  [5]
15  casualties  NNS  1  0.81300807  [10]
16  center  NN  2  1.6260161  [6, 7]
17  city  NN  1  0.81300807  [4]
18  civil  NNP  2  1.6260161  [0, 2]
19  closely  RB  1  0.81300807  [3]
20  cloudiness  NN  1  0.81300807  [7]
21  coast  NN  6  4.8780484  [0, 0, 9, 11, 12, 15]
22  coastal  JJ  1  0.81300807  [9]
23  damage  NN  1  0.81300807  [13]
24  debby  NNP  1  0.81300807  [15]
25  defense  NNP  2  1.6260161  [0, 2]
26  director  NNP  1  0.81300807  [2]
27  domingo  NNP  2  1.6260161  [4, 6]
28  dominican  NNP  2  1.6260161  [0, 0]
29  downgraded  VBN  1  0.81300807  [12]
30  eastern  JJ  1  0.81300807  [5]
31  estimated  VBN  1  0.81300807  [4]
32  eugenio  NNP  1  0.81300807  [2]
33  feet  NNS  2  1.6260161  [9, 9]
34  flash  NN  1  0.81300807  [8]
35  flood  NN  1  0.81300807  [8]
36  flooding  NN  1  0.81300807  [9]
37  florence  NNP  2  1.6260161  [12, 14]
38  follow  VB  1  0.81300807  [3]
39  formed  VBD  1  0.81300807  [5]
40  gilbert  NNP  6  4.8780484  [0, 0, 3, 5, 7, 9]
41  gulf  NNP  1  0.81300807  [12]
42  gusting  VBG  1  0.81300807  [1]
43  gusts  NNS  1  0.81300807  [11]
44  happy  JJ  1  0.81300807  [13]
45  heads  VBZ  1  0.81300807  [0]
46  heavily  RB  1  0.81300807  [0]
47  heavy  JJ  3  2.4390242  [0, 7, 11]
48  high  JJ  2  1.6260161  [0, 0]
49  hitting  VBG  1  0.81300807  [15]
50  hurricane  NN  7  5.691057  [0, 0, 5, 6, 12, 14, 15]
51  including  VBG  1  0.81300807  [4]
52  inland  RB  1  0.81300807  [12]
53  islands  NNPS  1  0.81300807  [8]
54  issued  VBD  1  0.81300807  [8]
55  its  PRP$  3  2.4390242  [0, 6, 12]
56  juan  NNP  2  1.6260161  [7, 11]
57  latitude  NN  1  0.81300807  [6]
58  live  VBP  1  0.81300807  [4]
59  longitude  NN  1  0.81300807  [6]
60  mexican  JJ  1  0.81300807  [15]
61  miami  NNP  1  0.81300807  [6]
62  midnight  NN  1  0.81300807  [2]
63  miles  NNS  3  2.4390242  [4, 6, 6]
64  minimal  JJ  1  0.81300807  [15]
65  month  NN  1  0.81300807  [15]
66  movement  NN  1  0.81300807  [3]
67  moving  VBG  1  0.81300807  [7]
68  mph  NN  4  3.2520323  [1, 1, 7, 13]
69  named  VBN  1  0.81300807  [14]
70  national  NNP  2  1.6260161  [6, 7]
71  night  NN  2  1.6260161  [5, 11]
72  north  NN  2  1.6260161  [6, 11]
73  on  IN  1  0.81300807  [12]
74  p.m.  NN  1  0.81300807  [8]
75  people  NNS  1  0.81300807  [4]
76  ponce  NNP  1  0.81300807  [6]
77  populated  JJ  1  0.81300807  [0]
78  position  NN  1  0.81300807  [6]
79  prepare  VB  1  0.81300807  [0]
80  province  NN  2  1.6260161  [3, 4]
81  puerto  NNP  4  3.2520323  [6, 7, 8, 9]
82  pushed  VBD  1  0.81300807  [12]
83  rain  NN  1  0.81300807  [13]
84  rains  NNS  2  1.6260161  [0, 11]
85  reached  VBD  1  0.81300807  [15]
86  remnants  NNS  1  0.81300807  [12]
87  reported  VBD  1  0.81300807  [6]
88  reports  NNS  1  0.81300807  [10]
89  republic  NNP  1  0.81300807  [0]
90  residents  NNS  2  1.6260161  [3, 13]
91  returned  VBD  1  0.81300807  [13]
92  rico  NNP  4  3.2520323  [6, 7, 8, 9]
93  rotating  VBG  1  0.81300807  [7]
94  san  NNP  2  1.6260161  [7, 11]
95  santo  NNP  2  1.6260161  [4, 6]
96  saturday  NNP  4  3.2520323  [2, 5, 11, 12]
97  seas  NNS  1  0.81300807  [0]
98  season  NN  1  0.81300807  [14]
99  service  NN  2  1.6260161  [7, 8]
100  sheets  NNS  1  0.81300807  [13]
101  shortly  RB  1  0.81300807  [2]
102  sixth  JJ  1  0.81300807  [14]
103  south  JJ  3  2.4390242  [0, 6, 9]
104  southeast  NN  3  2.4390242  [1, 6, 9]
105  storm  NN  6  4.8780484  [1, 5, 7, 12, 14, 14]
106  strength  NN  1  0.81300807  [15]
107  strengthened  VBD  1  0.81300807  [5]
108  strong  JJ  2  1.6260161  [9, 9]
109  subsided  VBD  1  0.81300807  [11]
110  sunday  NNP  3  2.4390242  [0, 6, 8]
111  sustained  JJ  1  0.81300807  [1]
112  swept  VBD  1  0.81300807  [0]
113  television  NN  1  0.81300807  [2]
114  the  DT  5  4.0650406  [1, 6, 7, 8, 15]
115  there  EX  2  1.6260161  [2, 10]
116  toward  IN  1  0.81300807  [0]
117  tropical  JJ  2  1.6260161  [5, 12]
118  u.s.  NNP  1  0.81300807  [12]
119  virgin  NNP  1  0.81300807  [8]
120  watch  NN  1  0.81300807  [8]
121  weather  NN  3  2.4390242  [7, 7, 8]
122  west  NN  2  1.6260161  [4, 6]
123  westward  RB  1  0.81300807  [7]
